 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
06/21/23,Roman's,1505,06/21/20231505,18.2,Pre,,Mixed Streams,N,N,"citrus lemon, vegetable prep, onion skins",citrus lemon, vegetable prep, onion skins,,,,,Low Generator,,,,,,,,,
06/21/23,The Fly,641,06/21/2023641,24,Mixed,,Plate Scrapings: Generic,N,Y,"chicken prep discard, breads, plate scrapings",chicken prep discard, breads, plate scrapings,,,,,Low Generator,,,,,,,,,
06/21/23,#N/A,1381,06/21/20231381,26,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, vegetable and bread ",plate scrapings, vegetable and bread ,,,,,,#N/A,,,,,,,,,
06/21/23,Colonie,395,06/21/2023395,20,Mixed,,Plate Scrapings: Generic,N,U,"vegetable prep, lettuce, oyster shells ",vegetable prep, lettuce, oyster shells ,,,,,High Generator,,,,,,,,,
06/21/23,Colonie,890,06/21/2023890,15,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, leek stalks ",vegetable prep, leek stalks ,,,,,,High Generator,,,,,,,,,
06/21/23,#N/A,31,06/21/202331,16,Pre,,Mixed Streams,N,N,"vegetable prep, cheeses",vegetable prep, cheeses,,,,,,#N/A,,,,,,,,,
06/21/23,LaLou,992,06/21/2023992,16,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, lemon, shells",plate scrapings, lemon, shells,,,,,Med Generator,,,,,,,,,
06/21/23,June Wine Bar,1450,06/21/20231450,16,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"bread, plate scrapings ",bread, plate scrapings ,,,,,,Med Generator,,,,,,,,,
06/21/23,LaLou,2340,06/21/20232340,23,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, bread, oyster shells",plate scrapings, bread, oyster shells,,,,,Med Generator,,,,,,,,,
06/21/23,#N/A,4003,06/21/20234003,18,Mixed,,Plate Scrapings: Generic,N,U,"fish discard, plate scrapings",fish discard, plate scrapings,,,,,,#N/A,,,,,,,,,
06/21/23,Poppy's Cafe,104,06/21/2023104,25,Pre,,"Bread, Baked Items",Y,N,"baking dough, cookies, baked items",baking dough, cookies, baked items,,,,,Med Generator,,,,,,,,,
06/21/23,Colonie,1442,06/21/20231442,15,Pre,,Mixed Streams,N,N,"eggshells, vegetable prep ",eggshells, vegetable prep ,,,,,,High Generator,,,,,,,,,
06/21/23,One Girl Cookies (Dean Street),2406,06/21/20232406,27,Mixed,,Mixed Streams,N,N,"coffee grounds, egg shells",coffee grounds, egg shells,,,,,,Med Generator,,,,,,,,,
06/21/23,Colonie,59,06/21/202359,25,Mixed,,Mixed Streams,N,N,"egg shells, bread, ",egg shells, bread, ,,,,,High Generator,,,,,,,,,
06/21/23,Miss Ada,277,06/21/2023277,27,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, vegetable",plate scrapings, bread, vegetable,,,,,Med Generator,,,,,,,,,
06/21/23,Colonie,107,06/21/2023107,20,Pre,,Vegetable Scrap: Generic,Y,N,vegetable prep ,vegetable prep ,,,,,,,High Generator,,,,,,,,,
06/21/23,Colonie,467,06/21/2023467,20,Mixed,,Mixed Streams,N,U,"vegetable scrap, oyster shells",vegetable scrap, oyster shells,,,,,,High Generator,,,,,,,,,
06/21/23,#N/A,1056,06/21/20231056,24,Pre,,"Bread, Baked Items",Y,N,"egg shells, dough, baked items, peanuts",egg shells, dough, baked items, peanuts,,,,#N/A,,,,,,,,,
06/21/23,One Girl Cookies (Dean Street),1050,06/21/20231050,30,Pre,,Coffee Grounds,Y,N,coffee grounds ,coffee grounds ,,,,,,,Med Generator,,,,,,,,,
06/21/23,Four Horsemen,1053,06/21/20231053,30,Post,,Mixed Streams,N,Y,"chicken prep, nachos",chicken prep, nachos,,,,,,High Generator,,,,,,,,,
06/21/23,Colonie,1233,06/21/20231233,23,Mixed,,Mixed Streams,N,U,"vegetable prep, oyster shells",vegetable prep, oyster shells,,,,,,High Generator,,,,,,,,,
06/21/23,The Fly,1502,06/21/20231502,23,Mixed,,Mixed Streams,N,Y,"cooked chicken prep, eggshells, vegetable prep ",cooked chicken prep, eggshells, vegetable prep ,,,,,Low Generator,,,,,,,,,
06/21/23,#N/A,1054,06/21/20231054,21,Mixed,,Mixed Streams,N,U,"vegetable prep, plate scrapings pasta, peas",vegetable prep, plate scrapings pasta, peas,,,,,#N/A,,,,,,,,,
06/21/23,Colonie,919,06/21/2023919,24,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, oyster shells, sauce",plate scrapings, oyster shells, sauce,,,,,High Generator,,,,,,,,,
06/21/23,The Fly,521,06/21/2023521,18,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuces",vegetable prep, lettuces,,,,,,Low Generator,,,,,,,,,
06/21/23,LaLou,1313,06/21/20231313,15,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, leeks, pepper",vegetable prep, leeks, pepper,,,,,Med Generator,,,,,,,,,
06/21/23,Clementine's (Classon Ave),947,06/21/2023947,15,Pre,half empty,Coffee Grounds,Y,N,coffee grounds ,coffee grounds ,,,,,,,High Generator,,,,,,,,,
06/21/23,Colonie,1458,06/21/20231458,24,Pre,,Juicery Pulp,N,N,"fruit pulp, citrus peels",fruit pulp, citrus peels,,,,,,High Generator,,,,,,,,,
06/21/23,Colonie,390,06/21/2023390,24,Post,,Oyster Shells,N,U,"plate scrapings, oyster shells",plate scrapings, oyster shells,,,,,,High Generator,,,,,,,,,
06/21/23,Glasserie,873,06/21/2023873,28,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, sauces",plate scrapings, sauces,,,,,,High Generator,,,,,,,,,
06/21/23,Roman's,767,06/21/2023767,17,Pre,,Vegetable Scrap: Generic,N,N,"vegetable prep, onion skins, citrus lemon",vegetable prep, onion skins, citrus lemon,,,,,Low Generator,,,,,,,,,
06/21/23,Miss Ada,2387,06/21/20232387,20,Mixed,,Mixed Streams,N,Y,"vegetable prep, stalks, raw meat, scrapings",vegetable prep, stalks, raw meat, scrapings,,,,Med Generator,,,,,,,,,
06/21/23,The Fly,1341,06/21/20231341,14,Pre,,Vegetable Scrap: Generic,N,N,vegetable prep ,vegetable prep ,,,,,,,Low Generator,,,,,,,,,
06/21/23,Diner,524,06/21/2023524,26,Pre,,Mixed Streams,N,N,"coffee grounds, vegetable prep",coffee grounds, vegetable prep,,,,,,High Generator,,,,,,,,,
06/21/23,Speedy Romeo,1363,06/21/20231363,12,Pre,,Vegetable Scrap: Generic,N,N,"vegetable prep, lettuces, citrus and sauce",vegetable prep, lettuces, citrus and sauce,,,,,Low Generator,,,,,,,,,
06/21/23,Roman's,838,06/21/2023838,24,Mixed,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, bread",plate scrapings, bread,,,,,,Low Generator,,,,,,,,,
06/21/23,Clementine's (Classon Ave),878,06/21/2023878,12,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, kale stalks",vegetable prep, kale stalks,,,,,,High Generator,,,,,,,,,
06/21/23,Roman's,848,06/21/2023848,14,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, lettuce, asparagus, scallions",vegetable prep, lettuce, asparagus, scallions,,,,Low Generator,,,,,,,,,
06/21/23,The Fly,515,06/21/2023515,13,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuce stalks ",vegetable prep, lettuce stalks ,,,,,,Low Generator,,,,,,,,,
06/21/23,Diner,21,06/21/202321,20,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, fries, bread, lettuce ",plate scrapings, fries, bread, lettuce ,,,,High Generator,,,,,,,,,
06/21/23,Clementine's (Classon Ave),400,06/21/2023400,18,Mixed,,Plate Scrapings: Generic,Y,U,"plate scrapings, citrus orange, peppers ",plate scrapings, citrus orange, peppers ,,,,,High Generator,,,,,,,,,
06/21/23,Diner,1201,06/21/20231201,26,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, rice, friends, sauces, mixed food",plate scrapings, rice, friends, sauces, mixed food,,,High Generator,,,,,,,,,
06/21/23,#N/A,617,06/21/2023617,16,Pre,,Mixed Streams,N,N,"cake, fruit discard",cake, fruit discard,,,,,,#N/A,,,,,,,,,
06/21/23,LaLou,1464,06/21/20231464,20,Pre,,Mixed Streams,N,U,"bread, eggshells, lemon",bread, eggshells, lemon,,,,,Med Generator,,,,,,,,,
06/21/23,LaLou,955,06/21/2023955,22,Mixed,,Plate Scrapings: Generic,N,U,"plate scrapings, oyster shells, bread ",plate scrapings, oyster shells, bread ,,,,,Med Generator,,,,,,,,,
06/21/23,First,299,06/21/2023299,18,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable scrap, pineapple, lettuce",vegetable scrap, pineapple, lettuce,,,,,High Generator,,,,,,,,,
06/21/23,Roman's,614,06/21/2023614,22,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, fennel, lemons",plate scrapings, bread, fennel, lemons,,,,Low Generator,,,,,,,,,
06/21/23,Clementine's (Classon Ave),931,06/21/2023931,10,Pre,dry,Vegetable Scrap: Generic,Y,N,vegetable scrap,vegetable scrap,,,,,,,High Generator,,,,,,,,,
06/21/23,Diner,180,06/21/2023180,30,Mixed,,Plate Scrapings: Generic,N,Y,"meat discard chicken, plate scrapings",meat discard chicken, plate scrapings,,,,,,High Generator,,,,,,,,,
06/21/23,#N/A,2168,06/21/20232168,26,Pre,,Mixed Streams,N,U,"bread, eggshells, vegetable prep",bread, eggshells, vegetable prep,,,,,#N/A,,,,,,,,,
06/21/23,Dawn's UNTIL DUSK,2191,06/21/20232191,20,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
06/21/23,First,714,06/21/2023714,5,Pre,wet,Fruit Byproduct,Y,N,"vegetable prep, pineapple",vegetable prep, pineapple,,,,,,High Generator,,,,,,,,,
06/21/23,Clementine's (Classon Ave),2302,06/21/20232302,18,Pre,,Mixed Streams,N,N,"coffee grounds, vegetable stalks",coffee grounds, vegetable stalks,,,,,,High Generator,,,,,,,,,
06/21/23,Diner,168,06/21/2023168,27,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, fries, lettuce",plate scrapings, bread, fries, lettuce,,,,High Generator,,,,,,,,,
06/21/23,LaLou,886,06/21/2023886,15,Mixed,,Mixed Streams,N,Y,"citrus orange, meat plate scrapings",citrus orange, meat plate scrapings,,,,,,Med Generator,,,,,,,,,
06/21/23,Diner,906,06/21/2023906,15,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, herb stalks, lettuce",vegetable prep, herb stalks, lettuce,,,,,High Generator,,,,,,,,,
06/21/23,#N/A,1024,06/21/20231024,18,Pre,,Mixed Streams,N,N,"prep, bread, vegetable stalks",prep, bread, vegetable stalks,,,,,#N/A,,,,,,,,,
06/21/23,#N/A,172,06/21/2023172,16,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, fries, cooked chicken in sauce",plate scrapings, fries, cooked chicken in sauce,,,,,#N/A,,,,,,,,,
06/21/23,LaLou,147,06/21/2023147,20,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, oyster shells, vegetables",plate scrapings, bread, oyster shells, vegetables,,,,Med Generator,,,,,,,,,
06/21/23,Roman's,642,06/21/2023642,20,Mixed,,Mixed Streams,N,N,"vegetable prep, onion skins, rice",vegetable prep, onion skins, rice,,,,,Low Generator,,,,,,,,,
06/21/23,#N/A,2115,06/21/20232115,20,Mixed,,Mixed Streams,N,N,"vegetable prep, lettuces, breads",vegetable prep, lettuces, breads,,,,,#N/A,,,,,,,,,
06/21/23,Roman's,1465,06/21/20231465,24,Mixed,,Mixed Streams,N,U,"vegetable prep, citrus, cooking discard",vegetable prep, citrus, cooking discard,,,,,Low Generator,,,,,,,,,
06/21/23,Roman's,476,06/21/2023476,27,Post,,Mixed Streams,N,Y,"chicken cooking discard, citrus lemon",chicken cooking discard, citrus lemon,,,,,,Low Generator,,,,,,,,,
06/21/23,Glasserie,1104,06/21/20231104,23,Pre,,Citrus Peels / Skins,Y,N,"citrus lemon, orange",citrus lemon, orange,,,,,,High Generator,,,,,,,,,
06/21/23,The Fly,522,06/21/2023522,27,Mixed,,Plate Scrapings: Generic,N,Y,"plate scrapings, fries, cooked chicken in sauce, bread",plate scrapings, fries, cooked chicken in sauce, bread,,,,Low Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),86,07/08/202386,27,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, potato",vegetable prep, potato,,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),2321,07/08/20232321,5,Meat,,Red Meat Discard,Y,Y,raw red meat,raw red meat,,,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),830,07/08/2023830,29,Meat,,Red Meat Discard,Y,Y,raw red meat,raw red meat,,,,,,,Med Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),923,07/08/2023923,15,Pre,,"Bread, Baked Items",Y,N,"dry bread,",dry bread,,,,,,,High Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),552,07/08/2023552,24,Post,,Vegetable Scrap: Generic,Y,N,vegetable prep,vegetable prep,,,,,,,High Generator,,,,,,,,,
07/08/23,#N/A,789,07/08/2023789,15,Pre,,"Bread, Baked Items",Y,N,dry bread,dry bread,,,,,,,#N/A,,,,,,,,,
07/08/23,King (Manhattan),2102,07/08/20232102,18,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, eggs",plate scrapings, bread, eggs,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),797,07/08/2023797,26,Mixed,,Mixed Streams,N,N,"beans, dry pasta, vegetable prep",beans, dry pasta, vegetable prep,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),961,07/08/2023961,14,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, raw pea shoots",vegetable prep, raw pea shoots,,,,,,Med Generator,,,,,,,,,
07/08/23,#N/A,389,07/08/2023389,25,Pre,,Mixed Streams,N,Y,"raw fish, vegetable prep, stalks, citrus limes",raw fish, vegetable prep, stalks, citrus limes,,,,#N/A,,,,,,,,,
07/08/23,Lord's (Manhattan),117,07/08/2023117,22,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, stalks, citrus limes",vegetable prep, stalks, citrus limes,,,,,Med Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),897,07/08/2023897,27,Pre,,Mixed Streams,N,U,"vegetable prep, potato peels, couscous",vegetable prep, potato peels, couscous,,,,,Med Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),1530,07/08/20231530,26,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, potato peels",vegetable prep, potato peels,,,,,,Med Generator,,,,,,,,,
07/08/23,#N/A,2160,07/08/20232160,20,Post,,Seafood Shells,Y,U,mussle shells,mussle shells,,,,,,,#N/A,,,,,,,,,
07/08/23,Lord's (Manhattan),1553,07/08/20231553,20,Pre,,Citrus Peels / Skins,Y,N,"citrus lemons, vegetable prep",citrus lemons, vegetable prep,,,,,,Med Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),437,07/08/2023437,26,Meat,,Cooked Poultry Discard,Y,Y,cooked chicken prep,cooked chicken prep,,,,,,,Med Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),364,07/08/2023364,28,Post,,Mixed Streams,N,Y,"plate scrapings, bread, veg, meat",plate scrapings, bread, veg, meat,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),467,07/08/2023467,17,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, peas, citrus orange",vegetable prep, peas, citrus orange,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),871,07/08/2023871,27,Mixed,,Plate Scrapings: Generic,N,U,"beans, plate scrapings",beans, plate scrapings,,,,,,Med Generator,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),616,07/08/2023616,22,Pre,stickers,Mixed Streams,N,N,"coffee grounds, bananas, tomato strawberry",coffee grounds, bananas, tomato strawberry,,,,,High Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),2118,07/08/20232118,18,Pre,STICKERS,Mixed Streams,N,N,"banana peels, bananas, bread",banana peels, bananas, bread,,,,,High Generator,,,,,,,,,
07/08/23,#N/A,395,07/08/2023395,24,Pre,,Mixed Streams,N,U,"vegetable scrap, potatos, raw fish, citrus lemons",vegetable scrap, potatos, raw fish, citrus lemons,,,,#N/A,,,,,,,,,
07/08/23,Lord's (Manhattan),532,07/08/2023532,28,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, rice, beans, ",plate scrapings, bread, rice, beans, ,,,Med Generator,,,,,,,,,
07/08/23,Van Da (Manhattan),2420,07/08/20232420,18,Pre,,Mixed Streams,N,Y,"vegetable scrap, onion skin, meat",vegetable scrap, onion skin, meat,,,,,Low Generator,,,,,,,,,
07/08/23,#N/A,569,07/08/2023569,20,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, vegetable scrap",plate scrapings, bread, vegetable scrap,,,,,#N/A,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),383,07/08/2023383,22,Pre,,Mixed Streams,Y,N,"pineapple, vegetable scrap, citrus",pineapple, vegetable scrap, citrus,,,,,Low Generator,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),137,07/08/2023137,26,Pre,,Juicery Pulp,Y,N,fruit pulp,fruit pulp,,,,,,,Low Generator,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),1061,07/08/20231061,23,Pre,,Vegetable Scrap: Generic,Y,N,"fruit, vegetable scrap",fruit, vegetable scrap,,,,,,Low Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),2140,07/08/20232140,16,Pre,,Mixed Streams,N,N,"vegetable prep, avocados, berries, egg",vegetable prep, avocados, berries, egg,,,,High Generator,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),138,07/08/2023138,25,Pre,,Vegetable Scrap: Generic,Y,N,tomato sauce,tomato sauce,,,,,,,High Generator,,,,,,,,,
07/08/23,Van Da (Manhattan),1098,07/08/20231098,24,Mixed,,Mixed Streams,N,Y,"vegetable prep, raw meat, plate scrapings, cheese, bread",vegetable prep, raw meat, plate scrapings, cheese, bread,,,Low Generator,,,,,,,,,
07/08/23,King (Manhattan),1360,07/08/20231360,28,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, pea shoots",vegetable prep, pea shoots,,,,,,Med Generator,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),2393,07/08/20232393,23,Pre,,Fruit Byproduct,Y,N,"fruit, pineapple, citrus, orange",fruit, pineapple, citrus, orange,,,,Low Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),954,07/08/2023954,23,Mixed,,Mixed Streams,N,N,"bread, vegetable scraps",bread, vegetable scraps,,,,,,High Generator,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),22,07/08/202322,25,Pre,,Fruit Byproduct,Y,N,"fruit pulp, citrus",fruit pulp, citrus,,,,,,Low Generator,,,,,,,,,
07/08/23,Van Da (Manhattan),936,07/08/2023936,24,Mixed,,Mixed Streams,N,Y,"meat, vegetable prep, vegetable scraps",meat, vegetable prep, vegetable scraps,,,,,Low Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),103,07/08/2023103,21,Pre,,Mixed Streams,N,U,"wet, vegetable scraps, egg shells",wet, vegetable scraps, egg shells,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),1192,07/08/20231192,23,Mixed,,Mixed Streams,N,Y,"raw meat, egg shells, vegetable prep",raw meat, egg shells, vegetable prep,,,,,Med Generator,,,,,,,,,
07/08/23,Mimi (Manhattan),475,07/08/2023475,20,Pre,,Cooked Poultry Discard,Y,Y,cooked poultry prep,cooked poultry prep,,,,,,,Med Generator,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),969,07/08/2023969,20,Pre,,Mixed Streams,N,N,"couscous, vegetable prep, stalks",couscous, vegetable prep, stalks,,,,,High Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),976,07/08/2023976,25,Pre,,Vegetable Scrap: Generic,N,N,"potatoes, banana peel",potatoes, banana peel,,,,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),1527,07/08/20231527,20,Mixed,,Mixed Streams,N,U,"egg shells, cheese, vegetable stalks",egg shells, cheese, vegetable stalks,,,,,Med Generator,,,,,,,,,
07/08/23,#N/A,164,07/08/2023164,24,Meat,,Red Meat Discard,Y,Y,red meat,red meat,,,,,,,#N/A,,,,,,,,,
07/08/23,Mimi (Manhattan),1233,07/08/20231233,26,Pre,,Cooked Poultry Discard,Y,Y,cooked poultry prep,cooked poultry prep,,,,,,,Med Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),431,07/08/2023431,16,Pre,,Mixed Streams,N,N,"vegetable scraps, stalks, cheese",vegetable scraps, stalks, cheese,,,,,High Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),2394,07/08/20232394,18,Mixed,,Mixed Streams,N,Y,"bread, bacon",bread, bacon,,,,,,High Generator,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),2007,07/08/20232007,20,Post,,Plate Scrapings: No Meat,N,U,"lentils, bread, quinoa, potato, citrus",lentils, bread, quinoa, potato, citrus,,,High Generator,,,,,,,,,
07/08/23,#N/A,680,07/08/2023680,21,Pre,,Mixed Streams,N,U,"vegetable peel, egg shells, stalks, herbs",vegetable peel, egg shells, stalks, herbs,,,,#N/A,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),1317,07/08/20231317,19,Mixed,,Mixed Streams,N,N,"vegetable prep, bread",vegetable prep, bread,,,,,,High Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),340,07/08/2023340,20,Pre,,Mixed Streams,N,U,"egg shells, coffee grounds",egg shells, coffee grounds,,,,,,High Generator,,,,,,,,,
07/08/23,Mimi (Manhattan),819,07/08/2023819,24,Pre,,Mixed Streams,N,U,"vegetable prep, potato skins, fish scraps",vegetable prep, potato skins, fish scraps,,,,,Med Generator,,,,,,,,,
07/08/23,#N/A,412,07/08/2023412,20,Pre,,"Vegetable: Stalks, Ends",N,N,"vegetable prep, coffee grounds",vegetable prep, coffee grounds,,,,,,#N/A,,,,,,,,,
07/08/23,Tom's Juice (Manhattan),2031,07/08/20232031,27,Pre,,Juicery Pulp,Y,N,"fruit pulp, canteloupe",fruit pulp, canteloupe,,,,,,Low Generator,,,,,,,,,
07/08/23,Mimi (Manhattan),1338,07/08/20231338,20,Mixed,,Mixed Streams,N,U,"vegetable prep, herbs, plate scrapings, bread",vegetable prep, herbs, plate scrapings, bread,,,,Med Generator,,,,,,,,,
07/08/23,#N/A,1567,07/08/20231567,22,Mixed,,Mixed Streams,N,N,"dry bread, quinoa, fruit pulp",dry bread, quinoa, fruit pulp,,,,,#N/A,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),568,07/08/2023568,20,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,High Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),167,07/08/2023167,20,Pre,,Mixed Streams,N,Y,"raw meat, fish, vegetable scraps",raw meat, fish, vegetable scraps,,,,,Med Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),2203,07/08/20232203,16,Pre,,Mixed Streams,N,U,"dry bread, eggshells",dry bread, eggshells,,,,,,High Generator,,,,,,,,,
07/08/23,#N/A,703,07/08/2023703,22,Pre,,Mixed Streams,N,N,"dry bread, vegetable scraps",dry bread, vegetable scraps,,,,,,#N/A,,,,,,,,,
07/08/23,Banter (Sullivan St. - Manhattan),26,07/08/202326,18,Pre,,Mixed Streams,N,U,"eggshells, vegetable prep ",eggshells, vegetable prep ,,,,,,High Generator,,,,,,,,,
07/08/23,King (Manhattan),495,07/08/2023495,21,Pre,,Mixed Streams,N,U,"citrus, eggshells, fish byproduct",citrus, eggshells, fish byproduct,,,,,Med Generator,,,,,,,,,
07/08/23,Van Da (Manhattan),999,07/08/2023999,25,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, vegetables scraps",plate scrapings, vegetables scraps,,,,,,Low Generator,,,,,,,,,
07/08/23,Banter (Hudson St. - Manhattan),440,07/08/2023440,20,Pre,,"Grain, Flour",Y,N,oatmeal,oatmeal,,,,,,,High Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),352,07/08/2023352,20,Pre,,Mixed Streams,N,U,"vegetable scrap, eggshells",vegetable scrap, eggshells,,,,,,Med Generator,,,,,,,,,
07/08/23,Lord's (Manhattan),532,07/08/2023532,26,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, rice, oyster shells, vegetable scrap, cheese",plate scrapings, rice, oyster shells, vegetable scrap, cheese,,,Med Generator,,,,,,,,,
07/08/23,King (Manhattan),333,07/08/2023333,26,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, rice, oyster shells, vegetable scrap, cheese",plate scrapings, rice, oyster shells, vegetable scrap, cheese,,,Med Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,23,Post,,Plate Scrapings: Generic,N,U,"citrus, vegetable scrap, plate scraping",citrus, vegetable scrap, plate scraping,,,,,Low Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,18,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable scrap, cauliflower, kale",vegetable scrap, cauliflower, kale,,,,,Low Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,20,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable scrap, cauliflower, kale",vegetable scrap, cauliflower, kale,,,,,Low Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,23,Pre,,Red Meat Discard,Y,Y,meat prep,meat prep,,,,,,,Low Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,22,Pre,,Mixed Streams,N,Y,"vegetable prep, mushrooms, poultry",vegetable prep, mushrooms, poultry,,,,,Low Generator,,,,,,,,,
07/10/23,The Wesley,,07/10/2023,23,Post,,Vegetable Scrap: Generic,Y,N,"corn husks, pea shoot, citrus",corn husks, pea shoot, citrus,,,,,Low Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,24,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,25,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, potato skins, cabbage, coffee grounds",vegetable prep, potato skins, cabbage, coffee grounds,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,26,Pre,,Coffee Grounds,Y,N,"coffee grounds,",coffee grounds,,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,24,Pre,,Mixed Streams,N,N,"ginger, citrus, lemon, cake",ginger, citrus, lemon, cake,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,28,Pre,,"Bread, Baked Items",Y,N,baked goods,baked goods,,,,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,20,Pre,,Vegetable Scrap: Generic,Y,N,"citrus, grapefruit, vegetable prep, stalks",citrus, grapefruit, vegetable prep, stalks,,,,High Generator,,,,,,,,,
07/09/23,Clementine's (Classon Ave),,07/09/2023,28,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
